ID,City,Province,SALEDT,Price,SQFT,RMTOT,RMBED,BATH,FLR1AREA,BSMT,HEATSYS,ATTIC,SFLA,GRADE,SALE_YEAR,SALE_MONTH,EFF_AGE,Style
1,54,2,2015-09-04,90000,10540,2,2,1,568,2,3,1,528,D,-3,9,38,U
2,59,2,2014-01-17,218615,0,3,3,1,1140,7,2,0,1140,C,-4,1,0,U
3,54,2,2014-11-24,248000,7922,2,2,2,1157,7,1,1,1766,C,-4,11,35,B
4,54,2,2016-12-01,210000,6599,4,4,1,1176,7,3,1,1856,C,-2,12,38,U
5,60,2,2015-11-18,135000,69696,3,3,1,1862,7,3,1,1040,D,-3,11,34,U
6,54,2,2013-11-28,241000,7039,3,3,1,1274,7,3,1,1538,C,-5,11,47,U
7,27,3,2015-09-30,155000,30000,3,3,2,1204,7,1,1,1732,C,-3,9,19,U
8,80,3,2015-09-25,76000,24974,2,2,1,1200,1,2,1,1200,D,-3,9,39,U
9,48,2,2016-05-24,175250,6874,3,3,2,1176,7,2,1,1476,C,-2,5,9,B
10,54,2,2014-03-21,272900,30978,3,3,2,1400,7,2,1,2187,C,-4,3,21,B
11,81,3,2017-10-13,66000,4000,3,3,1,725,2,3,1,1088,D,-1,10,43,U
12,47,2,2015-07-14,94900,26489,3,3,1,1607,7,3,1,1607,C,-3,7,38,U
13,27,3,2015-09-30,125000,99317,3,3,1,1040,7,3,1,1316,D,-3,9,29,U
14,98,1,2014-04-30,45000,6090,2,2,1,522,5,2,1,522,D,-4,4,38,U
15,75,2,2015-07-03,530000,61855,5,5,2,1375,2,5,1,2863,B,-3,7,28,U
16,54,2,2015-08-13,110000,2000,2,2,1,504,7,3,1,1236,C,-3,8,38,R
17,54,2,2016-03-31,160000,3186,4,4,1,698,7,2,1,1278,C,-2,3,24,H
18,30,3,2015-08-14,75000,4704480,5,5,1,678,2,3,1,897,E,-3,8,455,U
19,54,2,2015-09-15,294000,1600,3,3,1,480,7,1,1,1110,C,-3,9,30,R
20,59,2,2016-02-26,225000,7517,3,3,1,1216,7,2,1,1661,C,-2,2,15,B
21,54,2,2016-07-12,286000,4577,4,4,3,884,7,1,1,2424,C,-2,7,12,U
22,54,2,2016-07-05,217964,10010,3,3,2,1025,7,2,1,1171,C,-2,7,55,U
23,54,2,2015-09-28,238000,2109,3,3,1,976,5,5,1,2169,C,-3,9,27,R
24,54,2,2017-01-05,161500,7400,2,2,1,768,7,3,1,874,C,-1,1,39,U
25,69,1,2015-07-22,140000,5274,3,3,2,748,7,2,1,1383,C,-3,7,18,U
26,59,2,2016-06-27,365000,51401,2,2,1,956,7,1,1,1640,C,-2,6,26,U
27,33,3,2016-08-15,180000,15000,3,3,1,1117,5,2,1,1563,C,-2,8,27,S
28,54,2,2013-09-26,302500,3250,3,3,1,706,7,1,1,1834,C,-5,9,16,U
29,54,2,2015-09-17,536833,6738,5,5,3,1493,5,5,0,3848,C,-3,9,0,U
30,54,2,2017-08-23,920000,7800,3,3,2,1105,7,1,1,2663,B,-1,8,37,U
31,20,1,2014-08-29,92500,4736,4,4,2,1673,5,3,1,1963,C,-4,8,45,U
32,54,2,2017-06-07,301000,7253,3,3,1,576,7,3,1,2039,C,-1,6,16,U
33,54,2,2016-01-27,162600,4200,3,3,1,680,7,2,1,1272,C,-2,1,16,B
34,54,2,2017-06-27,267000,3200,3,3,2,693,7,1,1,1663,C,-1,6,14,U
35,60,2,2014-02-27,193750,392040,2,2,1,1965,7,2,1,1587,D,-4,2,40,U
36,44,2,2017-07-27,143000,4368,3,3,1,966,7,1,1,1287,C,-1,7,45,U
37,54,2,2017-07-28,591428,9358,5,5,3,1388,5,1,0,3613,B,-1,7,0,U
38,80,3,2013-05-30,125000,45000,2,2,1,936,7,3,1,936,C,-5,5,30,U
39,54,2,2016-06-30,224500,8207,3,3,2,960,7,2,1,1310,C,-2,6,28,U
40,54,2,2013-07-22,260000,19289,3,3,2,1344,7,5,1,2346,C,-5,7,23,U
41,54,2,2016-11-15,281500,7665,4,4,3,1341,7,2,1,2021,C,-2,11,19,B
42,60,2,2016-09-06,187000,52489,3,3,1,1120,1,6,1,1120,D,-2,9,30,U
43,44,2,2014-05-27,280000,10780,3,3,2,1456,7,1,1,1804,C,-4,5,26,U
44,54,2,2017-12-14,247500,4000,3,3,1,600,7,1,1,1438,C,-1,12,28,H
45,76,2,2013-07-26,170000,7201,3,3,1,1220,7,2,1,1556,C,-5,7,26,U
46,69,1,2017-10-02,220000,12800,5,5,2,996,7,2,1,2170,C,-1,10,24,U
47,54,2,2017-05-04,214000,4410,3,3,1,640,7,3,1,1839,C,-1,5,21,U
48,69,1,2017-06-15,134800,8180,3,3,2,864,7,3,1,1234,C,-1,6,31,U
49,30,3,2014-05-13,80000,41540,3,3,2,1400,7,1,1,2100,C,-4,5,36,U
50,54,2,2015-08-20,276900,6231,4,4,2,1223,7,2,1,2761,C,-3,8,28,U
51,59,2,2015-07-17,236500,5121,3,3,2,1052,3,2,0,2118,C,-3,7,2,H
52,98,1,2013-04-22,63000,3229,3,3,1,520,7,3,1,864,C,-5,4,43,U
53,69,1,2016-06-27,185000,22200,2,2,1,945,2,2,1,945,C,-2,6,41,U
54,54,2,2013-11-28,615638,0,3,3,3,3475,7,5,0,4768,B,-5,11,5,U
55,54,2,2017-10-19,95000,6909,2,2,1,559,7,4,1,498,D,-1,10,51,U
56,87,1,2015-11-20,233000,237838,4,4,2,1032,7,1,1,2113,C,-3,11,17,U
57,54,2,2015-08-25,227000,6300,3,3,1,1138,7,3,1,1585,C,-3,8,38,U
58,54,2,2016-09-15,243500,26460,5,5,2,1605,7,2,1,2025,C,-2,9,36,B
59,54,2,2016-08-19,359250,6999,4,4,1,936,7,3,1,2121,C,-2,8,40,B
60,54,2,2015-08-07,320000,9500,3,3,2,1554,7,3,1,2404,C,-3,8,41,U
61,54,2,2016-12-15,298500,7280,3,3,2,1521,5,3,1,1383,C,-2,12,36,S
62,54,2,2017-09-28,214500,6360,2,2,1,1034,7,1,1,1644,C,-1,9,34,U
63,54,2,2013-07-26,501000,94385,4,4,3,1263,5,5,1,3253,C,-5,7,2,U
64,33,3,2017-01-20,110000,10000,4,4,2,624,7,3,1,1536,D,-1,1,65,U
65,54,2,2017-05-31,145000,5068,3,3,1,744,7,3,1,1176,C,-1,5,457,U
66,54,2,2016-07-13,280000,6000,3,3,1,1121,7,3,1,1330,C,-2,7,36,U
67,54,2,2016-08-17,353000,45646,3,3,3,1583,7,1,0,2280,C,-2,8,9,U
68,54,2,2017-07-20,292000,56061,3,3,1,1100,7,3,1,1100,C,-1,7,12,U
69,54,2,2014-05-01,203900,2084,3,3,1,600,7,2,1,1440,C,-4,5,27,R
70,54,2,2015-08-07,334000,134624,3,3,3,1356,7,2,0,2497,C,-3,8,3,U
71,66,3,2016-10-20,100000,43560,2,2,1,864,7,3,1,960,D,-2,10,34,U
72,67,3,2015-09-28,63000,441263,2,2,1,888,7,6,1,888,E,-3,9,35,U
73,43,2,2015-09-24,130000,113692,2,2,1,836,7,2,1,836,C,-3,9,10,U
74,54,2,2017-07-17,148500,79715,3,3,1,768,7,2,1,1234,C,-1,7,30,B
75,54,2,2016-10-27,460000,5200,3,3,3,1324,5,5,1,3221,C,-2,10,6,U
76,54,2,2013-10-31,221500,24240,3,3,2,900,7,2,1,1430,C,-5,10,20,B
77,75,2,2015-12-29,41000,1740658,1,1,1,516,1,2,1,480,E,-3,12,48,U
78,33,3,2016-11-25,65000,11000,1,1,1,600,7,3,1,900,C,-2,11,71,U
79,33,3,2014-01-29,45000,4000,3,3,1,1115,7,3,1,2248,C,-4,1,458,U
80,76,2,2017-03-03,220000,13549,3,3,2,1492,7,2,1,2647,C,-1,3,32,U
81,45,2,2016-10-25,112000,116741,3,3,1,737,7,3,1,756,C,-2,10,71,U
82,33,3,2014-10-16,209000,7560,4,4,2,840,7,2,1,1554,C,-4,10,21,B
83,54,2,2014-05-30,408250,8715,3,3,3,1571,7,1,0,2380,B,-4,5,1,H
84,20,1,2017-07-05,139000,31381,2,2,1,792,7,2,1,864,C,-1,7,30,U
85,54,2,2013-04-15,295000,127195,3,3,2,1942,5,1,0,1942,C,-5,4,5,U
86,54,2,2017-05-23,247000,35672,2,2,3,810,7,2,1,1236,C,-1,5,34,U
87,44,2,2016-01-20,248000,9600,4,4,1,1026,7,2,1,2552,C,-2,1,34,U
88,54,2,2014-02-21,175400,3500,3,3,1,686,7,2,1,1284,C,-4,2,21,B
89,54,2,2013-04-03,363500,30196,4,4,2,808,7,2,1,2342,B,-5,4,24,U
90,54,2,2013-07-08,479000,48961,3,3,3,2292,7,5,1,2964,B,-5,7,5,U
91,54,2,2014-07-25,269140,3000,3,3,2,660,7,1,1,1480,C,-4,7,15,U
92,54,2,2013-07-18,230000,4999,4,4,2,832,7,3,1,1598,C,-5,7,46,U
93,27,3,2015-12-03,315000,12270,3,3,3,2144,7,2,0,2378,C,-3,12,6,U
94,54,2,2017-11-30,270000,3072,3,3,3,694,7,2,0,1954,C,-1,11,10,R
95,54,2,2016-04-05,355000,5200,3,3,1,960,7,1,1,1934,C,-2,4,67,U
96,54,2,2013-05-30,350000,3300,3,3,1,632,7,1,1,1564,B,-5,5,72,U
97,54,2,2013-05-31,330000,9219,3,3,3,1296,7,1,1,1766,C,-5,5,11,B
98,54,2,2016-08-16,230000,17550,2,2,1,1120,7,3,1,1886,C,-2,8,41,B
99,27,3,2013-07-02,140000,6751800,7,7,1,1032,2,2,1,1425,C,-5,7,75,U
100,69,1,2013-01-07,425000,464350,3,3,2,2700,2,4,1,1860,C,-5,1,11,U
101,33,3,2015-11-19,95000,7000,3,3,1,1240,7,2,1,1240,C,-3,11,37,U
102,97,1,2014-08-22,130000,25537,3,3,1,1932,2,3,1,1540,C,-4,8,37,U
103,33,3,2017-10-25,100500,2588,3,3,1,585,7,1,1,1170,C,-1,10,47,H
104,64,3,2016-05-13,65500,6970,3,3,1,864,7,3,1,864,D,-2,5,36,U
105,54,2,2017-09-28,291000,15867,3,3,1,660,7,3,1,936,C,-1,9,33,U
106,54,2,2017-08-04,290000,3420,1,1,2,800,7,1,1,1200,C,-1,8,52,U
107,59,2,2017-11-30,164000,4953,4,4,1,672,7,2,1,1255,C,-1,11,22,H
108,54,2,2016-01-18,100000,5000,2,2,1,693,3,3,1,693,C,-2,1,77,U
109,60,2,2017-07-14,150000,21335,2,2,1,1066,3,2,0,1066,C,-1,7,0,U
110,47,2,2015-07-17,95000,261360,3,3,1,900,6,3,1,1380,C,-3,7,450,U
111,54,2,2016-08-08,227500,35000,4,4,2,1105,7,1,1,1873,C,-2,8,22,B
112,54,2,2014-08-18,362000,53972,3,3,2,2047,7,3,1,1662,B,-4,8,12,U
113,54,2,2017-05-30,160000,10000,4,4,1,627,7,1,1,989,D,-1,5,37,U
114,54,2,2013-10-07,230000,30009,3,3,2,2432,7,3,1,2432,C,-5,10,458,U
115,54,2,2017-12-14,117500,3600,3,3,1,546,7,2,1,1113,D,-1,12,34,H
116,54,2,2017-09-08,284880,5985,4,4,2,1699,3,1,1,2292,C,-1,9,63,U
117,60,2,2017-08-24,30000,87120,4,4,1,784,2,3,1,1080,D,-1,8,427,U
118,33,3,2014-06-30,34000,3750,2,2,1,620,7,1,1,880,C,-4,6,449,H
119,27,3,2013-04-18,109000,3049200,12,5,2,890,2,3,1,1650,C,-5,4,68,U
120,54,2,2016-02-09,395000,89994,4,4,3,912,7,1,1,2619,C,-2,2,12,U
121,54,2,2015-03-02,295000,7225,3,3,2,1225,7,2,1,2179,C,-3,3,30,S
122,54,2,2013-09-27,299589,50162,3,3,2,1244,7,2,0,1994,C,-5,9,0,U
123,44,2,2016-12-06,315000,7982,4,4,3,1623,7,1,1,3375,B,-2,12,39,U
124,33,3,2013-08-30,64500,6439,3,3,1,720,7,3,1,1260,D,-5,8,46,B
125,54,2,2017-11-06,546040,6096,5,5,3,1235,7,1,0,3090,B,-1,11,1,U
126,27,3,2016-09-21,90000,609840,5,5,1,784,2,3,1,1008,C,-2,9,117,U
127,54,2,2017-07-18,264500,9000,4,4,2,1134,7,2,1,1768,C,-1,7,26,B
128,80,3,2015-08-06,135000,66211,3,3,1,1239,7,3,1,1487,C,-3,8,50,U
129,54,2,2017-09-06,196800,3751,3,3,1,756,7,1,1,1413,C,-1,9,17,B
130,81,3,2013-11-19,68000,5487,2,2,1,776,2,1,1,740,C,-5,11,458,U
131,75,2,2013-03-22,129900,19970,3,3,1,864,7,3,1,864,C,-5,3,39,U
132,54,2,2016-08-26,403000,0,3,3,3,1036,7,5,0,2506,C,-2,8,0,U
133,48,2,2014-05-01,129000,9600,2,2,1,1322,7,3,1,1322,C,-4,5,57,U
134,69,1,2013-01-30,134900,19805,2,2,1,768,7,1,1,768,D,-5,1,23,U
135,48,2,2014-02-06,100000,11900,3,3,1,1392,2,5,0,1028,C,-4,2,6,U
136,48,2,2017-07-14,95000,5220,2,2,1,761,7,3,1,938,D,-1,7,38,U
137,60,2,2014-05-01,259900,9295,4,3,2,902,7,5,1,1804,C,-4,5,1,U
138,70,1,2017-08-18,256000,11793,4,4,2,1602,7,2,0,1956,C,-1,8,2,B
139,54,2,2017-02-27,344900,7684,3,3,1,1335,7,1,1,1585,C,-1,2,37,B
140,59,2,2015-02-09,140000,0,3,3,1,1040,7,1,1,1840,D,-3,2,40,U
141,66,3,2015-07-13,65000,47262,4,4,1,525,1,3,1,1050,D,-3,7,455,U
142,54,2,2016-10-27,468000,5807,5,5,3,1598,5,1,1,3453,B,-2,10,9,U
143,54,2,2015-10-30,650000,63445,4,4,2,3902,1,4,1,3214,B,-3,10,17,U
144,54,2,2017-06-22,252500,3213,3,3,2,714,7,1,1,1832,C,-1,6,15,H
145,54,2,2016-05-31,415000,5535,6,4,2,956,3,1,1,1776,C,-2,5,50,U
146,33,3,2016-06-30,30000,5000,2,2,1,570,7,3,1,634,D,-2,6,448,U
147,54,2,2016-03-22,339900,6000,4,4,3,1248,7,1,0,2374,C,-2,3,8,U
148,69,1,2017-08-31,448000,51818,4,4,2,1196,7,2,0,2888,B,-1,8,10,U
149,33,3,2016-09-26,62500,6580,3,3,1,710,7,3,1,1210,C,-2,9,36,U
150,54,2,2015-02-27,147200,6564,4,4,4,1223,7,5,0,3465,C,-3,2,3,U
151,54,2,2015-09-30,399100,5650,3,3,2,1264,5,5,0,3292,C,-3,9,0,U
152,54,2,2013-09-13,297500,5950,3,3,1,856,7,3,1,1509,C,-5,9,31,U
153,59,2,2017-07-28,263500,125917,3,3,2,1101,7,2,1,1522,C,-1,7,10,B
154,74,2,2016-09-02,60000,17222,2,2,1,901,1,6,1,901,E,-2,9,47,U
155,69,1,2016-07-26,270000,14817,3,3,1,1481,7,1,1,2294,C,-2,7,18,U
156,47,2,2017-12-19,179000,85698,3,3,2,1400,7,2,0,2100,C,-1,12,6,U
157,48,2,2015-12-11,64500,9892,2,2,1,886,7,3,1,748,C,-3,12,68,U
158,69,1,2015-08-17,40000,68825,3,3,1,1480,7,3,1,1480,D,-3,8,430,U
159,54,2,2014-02-20,282000,4699,4,4,2,1104,5,3,1,2304,C,-4,2,43,S
160,66,3,2016-10-03,148000,33598,3,3,1,608,7,3,1,912,C,-2,10,31,U
161,48,2,2014-05-16,48000,5000,3,3,1,889,7,1,1,1242,C,-4,5,444,U
