Date,Open,High,Low,Close,Volume,Adj Close
2015-08-03,17.74,18.00,14.26,15.76,2708000,15.76
2015-07-01,18.76,18.91,17.08,17.73,1899400,17.595993
2015-06-01,18.299999,19.610001,18.040001,18.59,2290100,18.449493
2015-05-01,18.18,19.34,18.07,18.35,1795600,18.211308
2015-04-01,16.969999,18.58,16.790001,18.209999,1697600,17.936798
2015-03-02,17.48,17.73,16.57,17.01,2081400,16.754803
2015-02-02,16.40,17.879999,16.129999,17.41,2612200,17.148802
2015-01-02,19.059999,19.10,15.89,16.08,1961600,15.727732
2014-12-01,19.93,20.23,17.879999,19.09,1898100,18.671791
2014-11-03,18.959999,20.10,18.450001,19.90,1468600,19.464046
2014-10-01,19.17,19.43,16.68,18.969999,1957200,18.424129
2014-09-02,20.24,20.77,19.139999,19.25,1701800,18.696074
2014-08-01,20.389999,20.57,19.48,20.18,1427200,19.599314
2014-07-01,19.91,20.68,19.879999,20.41,1376100,19.682022
2014-06-02,18.309999,19.940001,18.209999,19.870001,1465700,19.161285
2014-05-01,18.860001,19.219999,18.040001,18.309999,1288800,17.656925
2014-04-01,19.40,19.67,18.07,18.75,1380100,17.967512
2014-03-03,18.73,19.639999,18.59,19.309999,1714100,18.504141
2014-02-03,18.57,19.690001,17.610001,18.98,2136700,18.187914
2014-01-02,19.610001,20.360001,18.209999,18.43,2721100,17.553135
2013-12-02,19.23,19.889999,18.32,19.73,1836700,18.791283
2013-11-01,17.73,19.540001,17.67,19.33,2111300,18.410315
2013-10-01,16.549999,17.99,16.200001,17.700001,1344400,16.74703
2013-09-03,16.68,17.50,16.440001,16.559999,1708900,15.668407
2013-08-01,17.68,17.950001,16.16,16.43,2229400,15.545407
2013-07-01,16.139999,18.16,15.89,17.610001,1828900,16.539606
2013-06-03,15.99,16.459999,15.30,16.02,2561200,15.04625
2013-05-01,14.74,16.309999,14.57,15.80,1921000,14.839622
2013-04-01,14.67,14.92,13.43,14.78,1793400,13.765265
