Date,Open,High,Low,Close,Volume,Adj Close
2015-08-03,0.058,0.103,0.005,0.055,000,0.055
2015-07-01,0.008,0.06,0.003,0.058,000,0.058
2015-06-01,0.008,0.015,0.003,0.01,000,0.01
2015-05-01,0.003,0.015,0.003,0.003,000,0.003
2015-04-01,0.028,0.033,0.003,0.005,000,0.005
2015-03-02,0.01,0.05,0.003,0.025,000,0.025
2015-02-02,0.005,0.02,0.003,0.008,000,0.008
2015-01-02,0.03,0.03,0.003,0.005,000,0.005
2014-12-01,0.005,0.04,0.003,0.037,000,0.037
2014-11-03,0.003,0.025,0.003,0.005,000,0.005
2014-10-01,0.015,0.022,0.003,0.003,000,0.003
2014-09-02,0.025,0.025,0.003,0.013,000,0.013
2014-08-01,0.02,0.03,0.01,0.018,000,0.018
2014-07-01,0.033,0.033,0.003,0.018,000,0.018
2014-06-02,0.03,0.035,0.005,0.02,000,0.02
2014-05-01,0.02,0.03,0.015,0.03,000,0.03
2014-04-01,0.04,0.04,0.003,0.02,000,0.02
2014-03-03,0.04,0.052,0.028,0.028,000,0.028
2014-02-03,0.013,0.083,0.007,0.043,000,0.043
2014-01-02,0.06,0.06,0.007,0.01,000,0.01
2013-12-02,0.055,0.07,0.035,0.063,000,0.063
2013-11-01,0.033,0.083,0.03,0.055,000,0.055
2013-10-01,0.01,0.135,0.005,0.033,000,0.033
2013-09-03,0.02,0.03,0.003,0.005,000,0.005
2013-08-01,0.03,0.052,0.013,0.02,000,0.02
2013-07-01,0.035,0.045,0.005,0.03,000,0.03
2013-06-03,0.03,0.058,0.025,0.03,000,0.03
2013-05-01,0.048,0.05,0.022,0.03,000,0.03
2013-04-01,0.07,0.07,0.043,0.045,000,0.045
2013-03-01,0.10,0.102,0.055,0.065,000,0.065
2013-02-01,0.065,0.12,0.055,0.10,000,0.10
2013-01-02,0.052,0.083,0.048,0.065,000,0.065
2012-12-03,0.08,0.092,0.005,0.035,000,0.035
2012-11-01,0.10,0.105,0.065,0.075,000,0.075
2012-10-01,0.09,0.115,0.08,0.105,000,0.105
2012-09-04,0.095,0.11,0.08,0.09,000,0.09
2012-08-01,0.09,0.115,0.07,0.085,000,0.085
2012-07-02,0.085,0.105,0.06,0.10,000,0.10
2012-06-01,0.055,0.10,0.055,0.08,000,0.08
2012-05-01,0.095,0.10,0.05,0.06,000,0.06
2012-04-02,0.065,0.095,0.055,0.09,000,0.09
2012-03-01,0.07,0.095,0.055,0.065,000,0.065
